dif_stir,dif_ltrate,dif_rstir,dif_rltrate,a_gr_i_y,ltrate,stir,rltrate,rstir,c_y,i_y,ca_y,bassets2_y,loans1_y,pdebt,gr_er,gr_rgdp,gr_rc,gr_ri,gr_rca,gr_cpi,gr_rnarrowm,gr_rmoney,gr_rstocks,gr_rbassets2,gr_rloans1,gr_rpubdebt,gr_c_y,gr_ca_y,gr_bassets2_y,gr_loans1_y,er_gap,rgdp_gap,rc_gap,ri_gap,rca_gap,stir_gap,ltrate_gap,rstir_gap,rnarrowm_gap,rmoney_gap,rstocks_gap,rbassets2_gap,rloans1_gap,rpubdebt_gap,pdebt_gap,c_y_gap,i_y_gap,ca_y_gap,bassets2_y_gap,loans1_y_gap,narrowm_y_gap,money_y_gap,a_stir,a_ltrate,a_rstir,a_rltrate,a_pdebt,a_c_y,a_i_y,gr_rer,a_ca_y,a_bassets2_y,a_loans1_y,a_gr_rgdp,a_gr_rc,a_gr_ri,a_gr_rca,a_gr_cpi,a_gr_rmoney,a_gr_rstocks,a_gr_rbassets2,a_gr_rloans1,a_gr_rpubdebt,a_gr_c_y,a_gr_ca_y,a_gr_bassets2_y,a_gr_loans1_y,a_rgdp_gap,a_rc_gap,a_ri_gap,a_rca_gap,a_stir_gap,a_rstir_gap,a_rltrate_gap,a_rnarrowm_gap,a_rmoney_gap,a_rstocks_gap,a_rbassets2_gap,a_rloans1_gap,a_pdebt_gap,a_c_y_gap,a_i_y_gap,rer_gap,a_ca_y_gap,a_bassets2_y_gap,a_loans1_y_gap,er,rer,rltrate_gap,a_gr_rnarrowm,a_ltrate_gap,a_gr_money_y,a_money_y_gap,a_pdebt_gap,money_y,gr_money_y,money_y_gap,a_money_y,b2,b3,b1,rec1,rec2,rec3,year,ccode
.0070087,-.0110695,,,,.04878,.0488,,,,.109266,-.1351285,,9.654256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0502158,.0697676,,,.705932,15.11132,.1260359,,.0197978,5.775507,3.290478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.413,9.17279,,,,,,,8.26248,,,11.4096,0,0,0,,,,1870,1
.0046967,-.0103671,.0537429,.0002494,-.0560172,.046729,.046,.0621134,.0613844,,.104579,-.0423469,,9.683288,,-.001937,.0327871,,-.0671997,-.6945766,-.0153844,.1856221,.1128854,,,-.0037268,,,-.6866173,,.0030071,,,,,,,,,,,,,,,,,,,,,,,.054008,.0652198,.0256143,.0643994,.6776403,16.06381,.1103663,.0010464,.0173623,5.248281,2.836901,.0157212,.0035578,-.0072038,-.2141678,.0010826,.1036644,.214002,.1303075,.0480953,-.023677,-.0397493,-.2812314,.0076699,.0012631,,,,,,,,,,,,,,,,,,,,.4122,9.182388,,.0774397,,.0115474,,,8.617703,.0429924,,9.341098,0,0,0,,,1,1871,1
.0015381,-.0116977,.1003888,.0537055,.3953879,.046948,.046,.093823,.092875,,.130438,-.0369658,,9.50969,,-.0067929,.2184048,,.5623171,.0934228,-.046875,.3963356,.2078799,,,.0896655,,,-.1270724,,-.0179275,-.0813466,2.619942,,7.257668,-56.45593,.0004666,.0003783,,2.945957,1.490494,,,1.449221,,,,4.061003,-65.02161,,-.353834,-.271077,-.8869325,.0620719,.0688822,.018423,.0408843,.5875176,15.79493,.1521229,-.0015508,.0254611,5.234798,2.80648,.0159389,.0748758,.3561838,.480737,.0239342,.0408428,.2691798,.1156406,.0686493,-.1574977,.0362718,.3729407,.0066355,.0031861,.0323193,1.238242,4.843908,-3.184659,.0006701,,,-1.175674,-.7364272,3.04217,-.0169343,.4875124,-2.879791,1.33661,5.993111,-.0433133,-3.50649,-.0054063,.0335273,.4094,9.168148,,.0051695,.0013626,.0009358,-.1795197,-2.879791,8.515656,-.0118417,-.8869325,9.323867,0,0,0,0,1,1,1872,1
-.0042208,-.0153141,.0286625,.0628313,-.0528598,.04717,.044,.04717,.044,,.124986,-.1141674,9.207792,9.519586,,.0019541,.1304699,,.112786,2.586705,0,.0662983,.0759123,,,.1712228,,,2.08846,,.0010406,.1660138,1.435374,,.6380596,-49.22002,-.00004,.0004547,-.0133929,-2.817524,-1.033069,,,3.885984,,,,-2.560126,-58.7295,,.1527846,-1.928049,-1.441964,.0637109,.0737913,.028003,.0117783,.53469,15.79808,.1442774,.0000539,.023383,4.940093,2.810112,.0039557,.0155406,.0246831,-.119257,.0433558,.0138272,-.2134726,.09125,-.005803,-.0777641,-.0123154,-.5357437,.014129,-.0003528,-.314241,-.2742053,-1.703231,-20.06822,-.0010705,.0029825,-.0008979,-.7069477,-1.423042,-12.05299,-.1808974,-1.289381,-.0682953,.0143956,-3.840776,-.0037837,13.91469,.2144738,-.0680192,.4102,9.168642,-.0130591,.0156976,.0020246,-.0084879,-.4486169,-.0682953,8.312904,-.0238092,-1.441964,9.224137,0,0,0,1,1,1,1873,1
.0056477,-.0132534,-.0563412,-.0333677,.144307,.046083,.045,-.0030973,-.0041803,,.14196,-.086691,9.28848,9.617128,,.0009752,-.0660871,,.092523,-.2696036,.0491803,-.0641596,.0255471,,.0305622,.0420231,,,-.240668,.008763,.0102465,.2146153,-6.294138,,-1.743934,-.446236,.0009594,-.0000686,-.0158588,-9.642655,-3.514971,,,.3204084,,,,1.832078,-11.04295,,.7109617,-1.817885,.2009449,.0452244,.0689941,.070024,.0426676,.5424607,15.45741,.1562526,.003092,.0187262,5.016036,2.901176,.0273833,.0121029,.1073822,.0452051,.0115818,.0504728,-.0496081,.0453391,.0417427,.0345345,-.0255638,-.3362366,.007358,.0027868,.5030428,-.8576488,-1.023121,-58.84797,-.0098014,.0131639,.0166443,-.5863889,-.1813995,-9.970915,-1.168192,-.1055131,7.441638,-1.000438,.1593557,.1335039,-31.99145,.0572055,.0120538,.4106,9.196992,-.0167507,.014264,-.0012804,.0111296,.2429357,7.441638,8.481915,.0203312,.2009449,9.379999,0,0,0,0,1,1,1874,1
.0076179,-.0121291,-.054378,-.0747781,-.0591112,.0459,.046,.0146501,.0147501,,.160564,-.0856061,9.315367,9.65886,,-.0009742,.0209975,,.1877591,.0369947,.0312499,-.0405372,.0821966,,.0734531,.0846858,,,-.0125148,.0028947,.0043393,.1345104,-5.49999,,1.794575,1.453815,.0013884,.0001159,.0110498,-11.4647,-1.805773,,.6845888,.7975766,,,,3.870442,-5.893669,-.0961552,.6611431,-2.434443,.4842891,.0440854,.0678762,.0867838,.1070444,.5271023,15.31665,.1476535,.0018814,.0180632,5.122885,2.906195,.0084157,.0270917,.0161537,-.0195023,-.0402886,.0626775,-.1588672,.0827063,.0395871,.1084475,.0096419,-.1883733,.0081766,.0022201,.0152608,-.4391579,-4.002987,5.581298,-.0051722,.0062202,.0371075,1.440005,1.106927,-14.24629,.5137766,1.289463,14.29049,.257811,-6.820564,.1348744,6.647826,.0402285,.0335835,.4102,9.214295,.0100892,.06102,-.0014045,.0104827,.5612795,14.29049,8.565045,.0098008,.4842891,9.399348,0,0,0,1,1,1,1875,1
.0127162,-.0149611,.0127431,-.0356682,-.0413485,.0449,.046,.0297484,.0308484,,.167878,-.0726655,9.430614,9.773302,,.0136519,-.0510675,,.0212757,-.1708714,.0151516,.0034625,.0663292,.1181296,.0677244,.0621024,,,-.1511637,.0123717,.0118484,.864554,-8.689172,,-3.65721,13.98927,.0010316,-.0002267,.0219676,-9.880918,-1.35872,,.7498078,.1636146,,,,.9362036,4.988345,.1672322,1.008691,-1.089891,1.681069,.0341834,.0685506,.0252131,.0647504,.5576269,17.74232,.1398675,.0019837,.0102405,5.124548,2.88395,-.0417383,.0143435,-.0962957,-.6575698,-.0058415,.0160061,-.1212173,.0009951,.0429796,.0516265,.0572896,-.7208815,.0025432,.0021087,-2.963463,-.7886239,-11.37206,53.79113,-.0072694,-.0347576,-.006747,.1370047,-.5198057,-15.0865,-2.426193,.2877282,16.03196,3.376729,-9.164099,.1361456,58.61255,-.2636646,.0375324,.4158,9.232574,.0211079,.0104768,-.0005685,.0052051,.3670336,16.03196,8.822297,.0300351,1.681069,9.452442,0,0,0,0,0,0,1876,1
.0087202,-.0174256,-.0203575,-.0189112,-.0171125,.0435,.045,.0136494,.0151494,,.209934,-.1004132,9.552166,9.974224,,-.002886,-.0356046,,.2472528,.3782507,.0298506,.0218531,.0713595,.0156124,.0869923,.138058,,,.3818548,.0128891,.0205583,.3036122,-9.516457,,5.299911,-7.645231,.0002116,-.0006521,.0099878,-7.629235,-.5586617,-1.455884,1.569054,4.070119,,,,10.0379,-17.53473,.2843728,1.681075,-.2959748,2.085727,.0397342,.0674644,.045584,.044626,.5865215,17.84123,.1371849,.0009231,.0085498,5.117857,2.87123,-.0018581,.0033993,.0065229,.2892322,.0058527,-.0044549,-.0807062,.0051966,.2323146,.3397114,-.0181903,.1468885,-.0004969,.0026249,-1.804599,-1.614667,-5.862513,.8736432,.001032,-.0110541,-.0160581,-1.335464,-2.56691,-8.633821,-3.695965,2.11667,13.51925,.1795151,-9.203559,.0713333,.656365,-.6091173,.072021,.4146,9.241096,.0095348,-.022437,.0008519,-.0096656,-.5413166,13.51925,9.04948,.025751,2.085727,8.876275,0,0,0,0,0,0,1877,1
.0102682,-.0146601,-.0290059,-.0231617,-.0244835,.0446,.048,.0590929,.0624929,,.181141,-.0999208,9.539395,9.993814,,-.0038592,.0239258,,-.0868354,.0531229,-.0144929,-.0231562,.0195059,-.2020077,.0491477,.0710675,,,-.0049043,-.0013369,.0019641,-.1101669,-6.303498,,-7.829483,-4.906173,.0021778,.0006501,.0394031,-8.680223,-2.876178,-9.412998,.3923392,2.916434,,,,-7.334419,-9.603824,-.341921,.9101613,-1.413629,-.1243712,.0405323,.0642969,.0944565,.0851821,.6163546,17.55314,.1339058,.0029337,.0096215,5.257296,2.948271,.0194976,-.0023697,-.0130718,-.2894303,-.0327947,.0227902,.0597829,.0430073,.0812791,.0743345,-.0328389,-.269636,.0000501,.0031173,-.5032438,-2.353669,-5.461598,97.36966,.0028204,.0190178,.0133681,2.271734,-2.184394,4.25959,-2.256942,1.736529,12.04186,-1.80516,-9.365818,.1539875,103.9699,-.7924147,.1218446,.413,9.268208,.0383274,.0645071,-.0015889,-.0038236,-.8057132,12.04186,8.92882,-.0133334,-.1243712,8.702294,0,0,0,0,0,0,1878,1
.0043201,-.0101011,.0261129,.0236378,-.1286325,.045,.049,.0744117,.0784117,,.161509,-.0797823,9.513586,9.90374,,.0067797,.0178123,,-.0638931,-.1617044,-.0294117,-.0096313,.0506762,.0852175,.0313604,-.0075867,,,-.2015446,-.0027055,-.009013,.315022,-4.357798,,-14.12885,11.21108,.0021092,.0010284,.0371844,-8.38935,-2.245505,.3882527,-.9891106,-2.528368,,,,-15.60918,9.4019,-.7354114,-.320966,-1.712307,-.6498252,.046506,.0590252,.0566617,.0570838,.6312317,17.47992,.1221793,.0004592,.0073629,5.469674,2.926647,-.0109944,.0120333,-.1157666,-.4265424,-.0091253,.0426197,.6542249,.0595347,.130837,.0379275,.0160064,-.320366,-.0005192,.0004148,-.9911684,-1.881067,-9.675959,-89.16054,.003985,-.0027979,-.0133022,3.26799,-.6296745,47.1479,-.2986253,3.012481,9.616602,-.3776363,-16.10165,.043717,-87.74294,-.994009,-.0206033,.4158,9.272464,.0365551,.0598974,-.0038545,.0044976,-.382793,9.616602,8.931173,.0002636,-.6498252,8.73696,0,0,0,0,0,0,1879,1
